using RM dataset, 
eswc model: 1,548,002
gamback: 1622702

(no filters)
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=google, norm=0, vocab=2165,oov=398
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=tw, norm=1, vocab=7886,oov=81
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=glv, norm=1, vocab=7886,oov=173
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=all, norm=1, vocab=7886,oov=55
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=glv, norm=1, vocab=4163,oov=70
data=/home/zz/Work/chase/data/ml/ml/ws-amt/labeled_data_all.csv, model=all, norm=1, vocab=4163,oov=24
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=glv, norm=1, vocab=4163,oov=70
data=/home/zz/Work/chase/data/ml/ml/ws-exp/labeled_data_all.csv, model=all, norm=1, vocab=4163,oov=24
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=google, norm=0, vocab=3574,oov=858
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=tw, norm=0, vocab=3574,oov=145
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=glv, norm=0, vocab=3574,oov=332
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=all, norm=0, vocab=3574,oov=135
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=google, norm=1, vocab=4163,oov=197
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=tw, norm=1, vocab=4163,oov=43
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=glv, norm=1, vocab=4163,oov=70
data=/home/zz/Work/chase/data/ml/ml/ws-gb/labeled_data_all.csv, model=all, norm=1, vocab=4163,oov=24
