,ds,Unnamed: 1,count,hate_speech,offensive_language,neither,class,tweet,id
16060,td,16088,0,0,0,0,1,Once we break up ion want the pussy nomore... RT @CPrice_504: Y&#8217;all really hate @Xbox huh?,
3639,td,3667,0,0,0,0,2,&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;  Nah.. His weapons just trash,
1412,c,1432,0,0,0,0,2,Finsbury Park attack: Roses for Ramadan worshippers - Finsbury Park is home to a multitude of races and faiths... https://t.co/e3hXHHVA5W,8.77315840764514E+017
5081,td,5109,0,0,0,0,1,@Boobah_ awnser the phone pussy,
22618,td,22646,0,0,0,0,2,RT @ticiaverveer: Royal city of the Kushite kings at Meroe (Sudan)near River Nile.It was the seat of the rulers who occupied Egypt http://&#8230;,
11369,td,11397,0,0,0,0,1,Either yall niggas just hella funny or she just tryna hoe around the block but you know.. http://t.co/x5feSfA1vB,
25214,td,25242,0,0,0,0,1,Where ya titties lil bitch?,
9798,td,9826,0,0,0,0,2,@yooperslayer better off banning teabaggers and their anti American supporters,
10939,td,10967,0,0,0,0,0,Come on nd get that chicken niggers love dat chicken from popeyes http://t.co/YjFh2HaVav,
5844,td,5872,0,0,0,0,1,@Hunglikerobby_ @emmadiabetes I have an open mind and that bitch Beyonc&#233; is crazy&#128528;,
24162,td,24190,0,0,0,0,1,These bitches love soda,
26510,td,26538,0,0,0,0,1,imma hit the ground work in the pussy   she gone come back everytime,
19272,td,19300,0,0,0,0,1,RT @POONsoaker: Y'all so trash @Cowboys,
11726,td,11754,0,0,0,0,1,Fuck what a bitch saying the hood love me,
16275,td,16303,0,0,0,0,2,Pierce would've easily drained all these shots with us. He's so trash now smh,
22839,td,22867,0,0,0,0,1,RT @yolythegod: Dick will have bitches selling their own mothers soul.. Inconsistent dick at that. Dick that they know isn't staying.,
9485,td,9513,0,0,0,0,1,@sloganDomono cause you got you wife on the left an bitches on the right nigga man logic #puss,
8647,td,8675,0,0,0,0,1,@janisjayy all the real gangsters knoww nate aint never loved no hoe,
15891,td,15919,0,0,0,0,2,Not ya grandma brownies wink wink http://t.co/pZPI8RUQ4F,
17507,td,17535,0,0,0,0,1,RT @Durags4Eva: Bulls still not winning the title with this bland ass offense. Pau still a pussy. No darkskin niggas in the starting line u&#8230;,
8616,td,8644,0,0,0,0,1,@itsjaylaaa I don't fight bitchez. They bitch during it to much.,
2907,td,2932,0,0,0,0,1,I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her,
22364,td,22392,0,0,0,0,1,RT @rockiefresh: If ya chick always getting into it wit other bitches u gotta tell her that shit ain&#8217;t fly and it&#8217;s costly,
23122,td,23150,0,0,0,0,1,Sex with whoever I want whenever I want? Nah. My girl give me good pussy all the time.,
3776,td,3804,0,0,0,0,1,"&#8220;@JulianSantomaur: 5""0 with 30 hoes on my dick #sweg&#8221; you have learned from the best",
21717,td,21745,0,0,0,0,1,RT @itscoleharmon_: Birth Control should be mandatory for some of you hoes,
15767,td,15795,0,0,0,0,1,Niggas is pure suckas.. If you got a problem with ya mans address that shit discuss it &amp; squash it... Only bitches hold grudges.,
23649,td,23677,0,0,0,0,2,Suddenlink is trash. Y'all know how important Bubble Guppies is to our day?,
9942,td,9970,0,0,0,0,1,Aghh! I took my 15minute break to relax for a bit not to here this bitch yell&amp;complain! &#128530;,
12699,td,12727,0,0,0,0,1,I dont think ive ever seen a fight on the real world. I mean a word fight yeah. tons of times. but damn! that bitch swung,
16151,td,16179,0,0,0,0,1,Or you gotta pay some bills cause pussy ain't free ummmm dick ain't free neither can you pick this tab up please thank you,
20820,td,20848,0,0,0,0,1,RT @___Jazsy: If a bitch tweeting about a nigga and he saying he don't mess with her  He's lying&#128533; That bitch ain't tweeting for nothing &#128527;,
16492,td,16520,0,0,0,0,1,RT @AC_Hussle: Real RT @iHitModelsRaw: All jokes aside the hoes I know some of the coolest women I've ever met,
18584,td,18612,0,0,0,0,1,RT @LeBronVuitton: Bain wasn't no hoe ass nigga at all,
9932,td,9960,0,0,0,0,1,After 27 weeks straight of that nigga being you MCM we get it bitch y'all fucking &#128514;&#128514;&#128514;&#128514;,
14255,td,14283,0,0,0,0,2,International law enforcement operation disrupts Shylock banking malware - PCWorld: International law enforcem... http://t.co/XEzf7Cj5qT,
21194,td,21222,0,0,0,0,2,RT @chughes717: @TyZebruh trash cans are always demanding new music from the gawd Tyga,
9826,td,9854,0,0,0,0,1,@zlyouell @SpongeBobVlnes dyke ron&#128109;&#128111;&#128514;,
26179,td,26207,0,0,0,0,1,dear michele bachman... shut the fuck up you crazy bitch.,
14673,td,14701,0,0,0,0,2,King TI vs tip and that troubleman albums all trash.,
3189,td,3217,0,0,0,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,
5621,td,5649,0,0,0,0,0,@FrankieJGrande fugly queer white trash,
26433,td,26461,0,0,0,0,1,i really want an xbone now and if you said i would say this a week ago i would call you a super retard,
13151,td,13179,0,0,0,0,2,I love me some chunky babies &#128525;&#128525;,
9905,td,9933,0,0,0,0,2,A yellow jacket landed on my mouth and stung me while I was cutting grass..safe to say he won &#128029; http://t.co/caYUcS8O01,
25141,td,25169,0,0,0,0,1,When it start raining bitches always wana get fucked bitch take a nap,
14653,td,14681,0,0,0,0,2,Khloee's new backpack that we colored last night! &#127912; http://t.co/tYndjCsq,
2362,c,2383,0,0,0,0,2,Gay fuck Adam Watson And Dan Broughton https://t.co/UWQu7CqryD,8.74911961292698E+017
21060,td,21088,0,0,0,0,1,RT @basedamERICan: When you stuck in the middle of the jungle but see a bad bitch Chillin by the mango tree... http://t.co/YRpGM7JC1s,
22130,td,22158,0,0,0,0,1,RT @mitrykizer: Sack number 3 for Trent Cole fuckin that bitch up,
21760,td,21788,0,0,0,0,2,RT @jay_ibarra95: Your tweets remind me of the times when we did the Oreo milkshake runs @ 1am in the morning !! &#128514;&#128557;&#128557;&#128557; @Vikyfdez15,
10560,td,10588,0,0,0,0,1,Boozer so trash,
8144,td,8172,0,0,0,0,1,@chanelisabeth cuz ur a bird bitch,
20346,td,20374,0,0,0,0,1,RT @UNCLERUCKUS_BD: Andrew Bynum got traded and then they waived him the very next day... a nigger can't keep a job,
11037,td,11065,0,0,0,0,1,Dam this niggah trippin off ecstasy,
19271,td,19299,0,0,0,0,1,RT @POONsoaker: Her pussy A1 if she can quote over 15 boosie quotes,
12778,td,12806,0,0,0,0,1,I got a measly 506 followers on Instagram that's probably why these bitches ain't takin me serious,
22163,td,22191,0,0,0,0,1,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.,
6346,td,6374,0,0,0,0,1,@LiamGeraldShone @AranNicolWHUFC @DSaend ur a fucking half breed dog. Stop acting.,
9172,td,9200,0,0,0,0,1,@myfriendbriana can I ask my bitch for other bitches,
25489,td,25517,0,0,0,0,1,Ya bitch basic if she trippin off your social networks profiles.,
7136,td,7164,0,0,0,0,1,@SimonCowell what a little bitch,
11198,td,11226,0,0,0,0,1,Does SZA have freckles on her pussy too?,
16010,td,16038,0,0,0,0,1,Okay! RT @_ProfessorX: Right&#8212; bitch!!! RT @Mndspeak88: you mad cause YOU opened your mouth? #GreysAnatomy,
6914,td,6942,0,0,0,0,1,@RainaluvsA intimidated?! What pussies all I see is a sweet honest woman but seriously you could make this stalking thing so much easier!,
16686,td,16714,0,0,0,0,1,RT @AzlanTheGoat: Females always talk about how on point their nails and eyebrows are okay bitch your personality is still shit though.,
13137,td,13165,0,0,0,0,1,I love fat bitches,
24654,td,24682,0,0,0,0,1,Tolerance? What in sharpening knives? 200+ years Jihadis have been a pain in our a$$. @GermanShepher10 @crookedwren @allahpundit @JammieWF,
17198,td,17226,0,0,0,0,1,RT @Coolie_GBE300: I'm about to go on http://t.co/9btG26MlgU &amp; be the devil &amp; catfish some hoes.,
18319,td,18347,0,0,0,0,1,RT @JustCurrieOn: @west2quick @Christooshifty lol aye watch to mouth you like when I mention you faggot,
22497,td,22525,0,0,0,0,1,RT @stephanielazox: Hope you got what you wanted bitch.,
16665,td,16693,0,0,0,0,0,RT @Asshole_God: Hate fags? The answer's yes.,
22847,td,22875,0,0,0,0,1,"RT @yummy_pearl4: ""You put my number on blocklist? How can I stop this??? Convert them mfs. I'll make all them hoes topless."" &#128548;&#128298;",
23041,td,23069,0,0,0,0,1,"Same shit RT @Che_TheYello1: But your bm tho? ... ""@viaNAWF: If my ex wanna go fuck my enemy may God be with her. Ain't my hoe no more.""",
4345,td,4373,0,0,0,0,1,&#8220;@tabatha__b: Never worried about the next bitch. Always worryin about the next meal. I'm tryna fuckin eat fuck what you talkin bout&#8221; &#128525;&#128175;&#128175;,
26002,td,26030,0,0,0,0,1,and if that's yo bitch then you may have to fight holmezz,
6948,td,6976,0,0,0,0,0,@RepGutierrez You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.,
16235,td,16263,0,0,0,0,0,People who play #roleplayinggames are human filth and don't deserve the same respect you'd give a mosquito. They're soulless gutter trash.,
15797,td,15825,0,0,0,0,1,Night niggers,
10189,td,10217,0,0,0,0,1,And vice versa RT @_Kimchanel_: 9/10 he has hoes,
10290,td,10318,0,0,0,0,1,Awwwwww RT @Tyga: That ain't my hoe.,
15554,td,15582,0,0,0,0,1,My phone acting retarded,
7107,td,7135,0,0,0,0,0,@SexWith_SocksOn faggot,
20271,td,20299,0,0,0,0,1,RT @TrentSkii_Baby: &#8220;@1017_Sqquad: Fucking niggas bitches man I'm use to it&#8221;,
8886,td,8914,0,0,0,0,1,@kieffer_jason idgaf what your name is scary ass give me a real address hoe,
7582,td,7610,0,0,0,0,1,@Wisdom_Stature bitch we coulda been at the stores looking,
2201,c,2222,0,0,0,0,2,Is it fair to say that much of our culture as Blacks was and in many ways is directly connected to drugs? I believe so...,8.74956740399333E+017
22838,td,22866,0,0,0,0,1,RT @yograndmabitch: Had a crush on a bitch with a man I tried to show her that I could treat her better but I never had no luck,
9000,td,9028,0,0,0,0,1,@lifeof_brandon bitch you need to bring your ass to fucking practice.,
10149,td,10177,0,0,0,0,1,And I'm out bout $50 .. These hoes be pimping me man &#128514;,
25818,td,25846,0,0,0,0,1,You niggas that would rather your girl wear jeans and Js instead of a tight dress and heels are faggots..,
7889,td,7917,0,0,0,0,1,@aaymee29 no that's fucking retarded are you drinking tonight or not?,
2501,td,2522,0,0,0,0,1,@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Yes,
20449,td,20477,0,0,0,0,1,RT @WWEGlFS: When a bitch asks to eat your ass. http://t.co/8OyPyJYgVe,
5554,td,5582,0,0,0,0,1,@EmpressTaTa aww man we had a BALL. Small lil affair. Set that bitch out!,
23606,td,23634,0,0,0,0,1,Stop lettin them messy hoes mess with your business.,
12335,td,12363,0,0,0,0,1,How can I not take my style back from niccas when niccas was taking my style WAY before.....Preach @1future &#128175; #RNS,
3498,td,3526,0,0,0,0,0,&#193;lbum de fotos: gaywrites: In the Making a project by and for queer students at Harvard highlights the... http://t.co/XZQ9XmaQTf,
25769,td,25797,0,0,0,0,1,You just worried bout the bitches I got one girl and she my girl no one else can hit it,
21132,td,21160,0,0,0,0,1,RT @bugattibeez: pussy still taste like McDonald's fries. RT @BOOSIERENE: I eat pineapples everyday they so good &#128553;&#128069;,
15685,td,15713,0,0,0,0,1,New strategy to get bitches:  Be Bruno Mars,
16383,td,16411,0,0,0,0,1,Put the weights back on the rack bitch!! Smdh lol Dick Chaney's! http://t.co/pThwskJhdY,
3421,td,3449,0,0,0,0,1,"&#128514;&#128514;&#128514;&#128514; &#128128;&#128128; &#8220;@LisforLex: No bitch go away &#9995;""@subnorbot1: @Tats_NSnapbacks @LisforLex @LisforLex tu puta madre @carlosnoodles""&#8221;",
21887,td,21915,0,0,0,0,1,RT @koniikonn: &#8220;@_Weezy_Wee: If you ask me every bitch gay&#8221; not me I'm all sexual,
7724,td,7752,0,0,0,0,0,@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol,
3923,td,3951,0,0,0,0,1,&#8220;@RonStackin: i got money  guns  gold  bitches nd stacks nigga fuck this net beef have my shooters get at niggas&#8221; a Bring dat Friday den,
6145,td,6173,0,0,0,0,1,@JunDishes block or mute the cunt,
4900,td,4928,0,0,0,0,1,@Aram2432 @Marco_Spatula who invited this fag?,
8156,td,8184,0,0,0,0,2,@cheetahxcheeks lol trash I would of kept it if she was cute,
18342,td,18370,0,0,0,0,1,RT @KINGSHA_MUGGA: My bitch better lie to me more than 5 bodies and I cant stomach it ill fucking die,
22639,td,22667,0,0,0,0,2,RT @tonyrobbins: Piers Morgan to Charlie Sheen: &#8220;You were taking Cocaine&#8230;&#8221; Charlie Sheen: &#8220;I wasn&#8217;t taking it. I had to pay for it.&#8221; via ...,
2168,c,2188,0,0,0,0,2,Feminism must be intersectional and Wonder Woman is no exception. https://t.co/DsBCmx8IT7 via,8.7497134499108E+017
11654,td,11682,0,0,0,0,0,Fuck Ur god until dat faggot strikes me down,
23135,td,23163,0,0,0,0,1,She a bad bitch period. But she didn't have to get these big ass implants &#128514; fucc http://t.co/Dd5iu85lPx,
17899,td,17927,0,0,0,0,1,RT @HerMoufPiece: Hairy pussy bitch you the type that got herps,
24985,td,25013,0,0,0,0,1,Well I'm back on the prowl for a bad bitch,
5982,td,6010,0,0,0,0,1,@JHannahhh oh you mean Noah zimmerman's cute ass &#128525;. I mean he should he talks to his hoes all day everyday . &amp; his girl Courtney &#128514;&#128564; sooo,
2762,td,2786,0,0,0,0,1,@fuckcamoclark: Roses are red and violets are blue and niggers are black you know that's true. @dylan72892,
4043,td,4071,0,0,0,0,1,&#8220;@Xenoss_: I don't love these hoes&#8221; *we,
3993,td,4021,0,0,0,0,1,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,
21599,td,21627,0,0,0,0,1,RT @iEatLightSkins_: you bitches make everything a relationship goal.,
9392,td,9420,0,0,0,0,2,@samzbikowski chug ranch,
3601,td,3629,0,0,0,0,1,&#8220;@CayMarieee: I really hate this bitch but she knows me best &#128149;&#128153;&#8221;,
19395,td,19423,0,0,0,0,1,RT @PvTruest: #Nevertrustabitch never trust a bitch who has a fresh copy of master p album,
3222,td,3250,0,0,0,0,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",
16556,td,16584,0,0,0,0,1,RT @AirSimba9: &#8220;@Treslyon: Tell a hoe NO for the sanctity of your relationship we gotta stop fucking these woman&#8221;,
1889,c,1909,0,0,0,0,2,I want that Revali amiibo Im gay for the BotW Rito,8.74995871368327E+017
8145,td,8173,0,0,0,0,1,@chanelisabeth fuck yo bitch ass then,
11817,td,11845,0,0,0,0,1,Gave that bitch an E pill ... Bitches love fucking wit they EX,
7828,td,7856,0,0,0,0,0,@_elennamichelle nope not at all but I'm stuck in a house full of fucking niggers help me escape &#128553;,
2208,c,2229,0,0,0,0,2,Erotic movietures of hardcore gay dominance sex His mouth is briefly full https://t.co/GPhVd8e3zm,8.74902176157631E+017
5780,td,5808,0,0,0,0,2,@HaseenaBakhtali @steen020 @madraq Altyd zo geweest hoe vaak men ook zegt:dit nooit meer!LozeWoorden.PuntjeBijPaaltje vertonen z dierngedrag,
24857,td,24885,0,0,0,0,2,Viola Auntie...you can't call White trash women White trash like this during primetime! #HTGAWM,
4730,td,4758,0,0,0,0,1,@0hallis0n bitch caught a body about a week ago. Everybody catching bullet holes.,
20701,td,20729,0,0,0,0,1,RT @_Crzy4tay: &#8220;@hedge_brandon: If youve only seen my couch not my bed then you my hoe&#8221;&#128514;&#128514;,
21680,td,21708,0,0,0,0,1,RT @imlovinglucy: - you ain't a bad bitch if you got bad habits !!! .,
3077,td,3105,0,0,0,0,0,poor whitey http://t.co/3UkKeyznz8,
17537,td,17565,0,0,0,0,2,RT @Elisaa_Martinez: Happy birthday cotton picker lol @1NOnlyDirtyMike,
8779,td,8807,0,0,0,0,1,@kassidypeek pussy shit ^,
7536,td,7564,0,0,0,0,2,@VoiceofaPatriot Now now&#8230;that bird is one of God's creatures :-),
14886,td,14914,0,0,0,0,1,Lil dumb ass bitch I ain't fucking with you,
2171,c,2191,0,0,0,0,2,Greece has been hijacked by globalists. We want our sovereignty back! #MakeGreeceGreat @GreeksforTrump https://t.co/yytF18XSX4,8.74855877446177E+017
8206,td,8234,0,0,0,0,1,@cristiannt_ wow I was like 12 or 13 fighting people in high school then bitch unfollow me fuck nigga,
6215,td,6243,0,0,0,0,1,@Kellinquinn please acknowledge my existence you amazing son of a bitch,
9532,td,9560,0,0,0,0,1,@survivedby @rootsarecertain I figured I was just shocked out hoe old that tweet was lol,
23555,td,23583,0,0,0,0,2,Special thanks to Tina Charlie and staff at Waverly Hills... thanks to everyone that dedicated time to make the... http://bit.ly/aKyqk2,
13060,td,13088,0,0,0,0,2,I know right. Get one guy out!! Man! @pjmclaugh: You had ONE JOB Josh@Nobz13 Outman! #Yankees&#8221;,
3023,td,3051,0,0,0,0,1,Will shank a bitch for ceviche,
13911,td,13939,0,0,0,0,1,Idont want a Bestfriend Boyfriend homeboy nor homegirl... fuck all yall bitches ctfu idc idc,
7072,td,7100,0,0,0,0,1,@SarahKSilverman Just saw your black NRA skit. It was vile. You're not funny. Was a fan of yours not anymore. #cunt,
3002,td,3027,0,0,0,0,1,"This is for all the fans that waited the bitch niggas that hated / Old hoes we dated look mama we&#8230; http://t.co/sNRY6A7VYB
3028,0,0,0,0,1,This is for my ghetto motherfuckers"" -Missy Elliott",
24377,td,24405,0,0,0,0,1,This bitch brought her toothbrush. Okay? @Gnargie_,
26642,td,26670,0,0,0,0,1,mickeyblowsyourmind: who wants to be a skype group with a bunch of offensive new york city queer folk Me!... http://t.co/BPgdvs8qD2,
19547,td,19575,0,0,0,0,1,RT @RobIsRandomAF_6: &#128514;&#128514;&#128514;&#128514;&#128514;This bitch came to the club with a broken neck? Bitch you serious? https://t.co/D4bpFhPj6x,
14099,td,14127,0,0,0,0,1,If you single just start hitting up those hoes. &#128524; &#128129;,
17306,td,17334,0,0,0,0,1,RT @DJ_Leezy: @TheKaosYatti @JMuggaaa ya mom lick ass for Christmas gifts bitch lol,
7172,td,7200,0,0,0,0,1,@StarLavaFox if the bitch don't like it she can't be my bitch,
23210,td,23238,0,0,0,0,0,"Sheeple just like &#128073;@sweetpotatertot:OH those ""racist"" ""sexist"" ""teabaggers""who just elected these two old white men. http://t.co/x3BwNM3jiI&#8221;",
16883,td,16911,0,0,0,0,1,RT @BowersockNick: Least I ain't broke bitch!,
17286,td,17314,0,0,0,0,1,RT @DFcuknAwesum: Kirk ain't nothing but a bitch #Love&amp;HipHop,
20578,td,20606,0,0,0,0,2,RT @Yankees: .@DRob30 comes in to close out the game here in the 9th. #Yankees,
13385,td,13413,0,0,0,0,1,I think I just gotta accept the fact that all these bitches gonna be hoes til they around the age of 27 and life will be a lot easier,
24880,td,24908,0,0,0,0,1,Wait a min you nigga bitch! Lol RT @WILLIEP252: #FuckTheSteelers #HTTR I don't give a damn if it (cont) http://t.co/9VemNXDuQL,
13590,td,13618,0,0,0,0,1,I'll always remember feeling like I was no good. Like I couldn't do it for you like that whack bitch could.. &amp; it's all because you lied..,
22377,td,22405,0,0,0,0,2,RT @ryancommakerry: I think it's time to bring out the drunken monkey,
1122,c,1130,0,0,0,0,2,This is the number of British people that don't think that Finsbury Park mosque attack was terrorism https://t.co/O6MLmRXgE1,8.77233568254185E+017
3673,td,3701,0,0,0,0,1,&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Don't fuck her right in the pussy,
11783,td,11811,0,0,0,0,1,Fuuuuuuuuck that bitch. #Snowpiercer,
25349,td,25377,0,0,0,0,1,Why you shouldn't eat pussy unless you love her http://t.co/BkpLT6D9ax,
25043,td,25071,0,0,0,0,1,What makes you lose your temper? &#8212; dumb ass bitches who talk shit but won't walk a mil in you own shoes http://t.co/1V4dpwHeUl,
13996,td,14024,0,0,0,0,1,If she aint talkin to you  then who she talking to ? Cus you know bitches cant stop talking #TrustIssues,
17419,td,17447,0,0,0,0,1,RT @Dewis14: @H_ToTheOV @dbrad_80 @Coleduff24 @Peckadelic @bgulll1611 you're all pussies. Only men throw whammers in their assholes,
4347,td,4375,0,0,0,0,1,&#8220;@tay_torrez &amp; wealthy? RT @DrTruth247: My aunt said I'm handsome fuck you hoes&#8221;broke,
20882,td,20910,0,0,0,0,1,RT @_iAmDizzy: A hoe gone be a hoe and dats #100 nd when a nigga broke them hoes act funny!,
9585,td,9613,0,0,0,0,1,@thejournalist44 best O-Lineman is a rookie. It's him and a bunch of retards I wouldn't trust with a potato gun.,
21143,td,21171,0,0,0,0,2,RT @camilleftansel: i've read the hunger games 12 times i am trash,
4438,td,4466,0,0,0,0,1,&gt;_&lt;.. RT @ItsTheBOOMshow @FricknAwesome metal monkey balls!,
196,c,196,0,0,0,0,0,With all that's happened still seeing these around Manchester. Enough is enough. Get them out. #refugeesNOTwelcome https://t.co/FDoN06FhYW,8.77181142855815E+017
579,c,579,0,0,0,0,0,@3lectric5heep Right wing countryman PATRIOTS should call for a ban on muslim @labour sob's,8.77195645827731E+017
24149,td,24177,0,0,0,0,1,These bitches crazzzyyyyyy,
14801,td,14829,0,0,0,0,2,Let's cripple the vanity industry. How? Actually start liking who we are and how we look.,
5815,td,5843,0,0,0,0,1,@HomoHulk told you them bitches was mad even g.,
